Date,XLK,XLF,XLE,XLU,XLV,XLI,XLP,XLY
2010-01-04,9.378783226013184,8.942387580871582,17.268268585205078,8.886096000671387,23.98484992980957,20.922794342041016,17.25077247619629,12.308619499206543
2010-01-05,9.366691589355469,9.1067476272583,17.409212112426758,8.780306816101074,23.749635696411133,20.996675491333008,17.257240295410156,12.353748321533203
2010-01-06,9.26190185546875,9.125008583068848,17.617677688598633,8.831768035888672,23.992441177368164,21.040998458862305,17.244304656982422,12.370161056518555
2010-01-07,9.225625991821289,9.319809913635254,17.59126091003418,8.791743278503418,24.075895309448242,21.2700252532959,17.244304656982422,12.472728729248047
2010-01-08,9.286083221435547,9.265018463134766,17.705772399902344,8.783164024353027,24.11384391784668,21.609874725341797,17.186084747314453,12.468628883361816
2010-01-11,9.249810218811035,9.271109580993652,17.682283401489258,8.874651908874512,24.25041389465332,21.84628677368164,17.23137092590332,12.444013595581055
2010-01-12,9.1490478515625,9.137186050415039,17.42681884765625,8.837488174438477,24.075895309448242,21.668977737426758,17.328401565551758,12.2839994430542
2010-01-13,9.23771858215332,9.24067211151123,17.49142074584961,8.934701919555664,24.394577026367188,21.757625579833984,17.451292037963867,12.423495292663574
2010-01-14,9.26190185546875,9.283283233642578,17.541339874267578,8.894670486450195,24.614625930786133,21.757625579833984,17.39954376220703,12.423495292663574
2010-01-15,9.132927894592285,9.094572067260742,17.400400161743164,8.837488174438477,24.44770622253418,21.476886749267578,17.315454483032227,12.30041217803955
2010-01-19,9.290114402770996,9.210234642028809,17.558961868286133,8.940417289733887,25.0395565032959,21.71330451965332,17.418956756591797,12.464527130126953
2010-01-20,9.140987396240234,9.185882568359375,17.285884857177734,8.84606647491455,24.827085494995117,21.380840301513672,17.289579391479492,12.296309471130371
2010-01-21,9.044258117675781,8.924126625061035,16.933534622192383,8.71740436553955,24.288358688354492,20.885845184326172,17.043790817260742,12.140399932861328
2010-01-22,8.729887008666992,8.631932258605957,16.5312557220459,8.525846481323242,24.022781372070312,20.568172454833984,17.004980087280273,11.906536102294922
2010-01-25,8.8024320602417,8.680627822875977,16.63990592956543,8.583026885986328,24.022781372070312,20.70115089416504,17.03731918334961,11.968080520629883
2010-01-26,8.77824878692627,8.528446197509766,16.534202575683594,8.61733627319336,23.886205673217773,20.61249542236328,17.017913818359375,11.98448657989502
2010-01-27,8.850798606872559,8.735420227050781,16.4696044921875,8.560155868530273,24.053131103515625,20.67159652709961,17.05672836303711,12.00500774383545
2010-01-28,8.596884727478027,8.692803382873535,16.296354293823242,8.49439811706543,23.90138053894043,20.435178756713867,17.01144790649414,11.93525505065918
2010-01-29,8.447755813598633,8.631932258605957,16.002727508544922,8.442933082580566,23.734453201293945,20.228317260742188,16.946775436401367,11.861401557922363
2010-02-01,8.544490814208984,8.778029441833496,16.5312557220459,8.497255325317383,23.871036529541016,20.531225204467773,17.07613182067871,12.013212203979492
2010-02-02,8.629124641418457,8.863250732421875,16.7485408782959,8.565873146057129,24.36423683166504,20.922794342041016,17.321935653686523,12.181429862976074
